,2023-03-24,2023-03-28,2023-04-01,2023-04-05,2023-04-09,2023-04-13,2023-04-17,2023-04-21,2023-04-25,2023-04-29,2023-05-03,2023-05-07,2023-05-11,2023-05-15,2023-05-19,2023-05-23,2023-05-27,2023-05-31,2023-06-04,2023-06-08,2023-06-12,2023-06-16,2023-06-20,2023-06-24,2023-06-28,2023-07-02,2023-07-06,2023-07-10,2023-07-14,2023-07-18,2023-07-22
2023-06-12,,,,,,,,,,,,,,,,,,,,,1.0,1.0000011252640277,1.0000048829747368,1.00000635409219,1.0000097996690283,1.000019736988827,1.0000330927068948,1.000033252572924,1.0000306685585763,1.0000349276999685,1.0000457123947115
2023-06-16,,,,,,,,,,,,,,,,,,,,,,1.0,1.0000033948377807,1.0000048887574735,1.0000096431032697,1.0000193543799962,1.0000322388539356,1.0000323698525513,1.0000308261548971,1.0000349136434432,1.0000449306364312
2023-06-20,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0000013261504104,0.9999964523681644,1.0000078263974708,1.0000241774219245,1.0000245207841725,1.0000153239822342,1.0000206741753965,1.0000363386522713
2023-06-24,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.9999926995082871,1.0000044926152938,1.000021717352775,1.000022114239904,1.0000109885390998,1.0000166569818725,1.0000337448554308
2023-06-28,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.000005575345073,1.0000098375861506,1.000009440414668,1.000026931130006,1.0000278778509564,1.0000238483569335
2023-07-02,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0000081117523592,1.0000079503960124,1.0000169425833958,1.0000192915687858,1.0000215334735922
2023-07-06,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0000001083115218,0.9999993821069123,1.0000033345874426,1.0000127480312295
2023-07-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.99999928942616,1.0000032393272344,1.0000126412354524
2023-07-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.9999997510540447,0.9999903745038784
2023-07-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.9999965008990411
2023-07-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999999999999998
